laptop__id,laptop__gpu__rendimiento_fp32_TFlops,laptop__gpu__cant_vram_GB,laptop__gpu__cache_total,laptop__cpu__cinebench_R23_single,laptop__cpu__cinebench_R23_multi,laptop__cpu__cache_total,laptop__disco_duro__generacion,fps
23,8.580,4,2.0,1253,11135,12.0,3,110
21,11.110,6,3.0,1217,7463,13.5,3,130
5,11.400,6,3.0,1412,8746,19.5,4,135
18,12.610,6,3.0,1700,14000,33.5,3,140
19,12.040,6,3.0,1507,12217,34.0,3,145
20,13.820,6,3.0,1420,12173,20.0,3,145
25,17.510,8,4.0,1420,12173,20.0,3,160
3,12.610,6,3.0,1507,12217,34.0,4,160
9,11.750,6,3.0,1507,12217,34.0,4,160
14,13.080,6,3.0,1507,12217,34.0,4,160
22,12.610,6,3.0,1161,6820,13.5,3,170
24,12.610,6,3.0,1507,12217,34.0,4,170
11,10.420,6,3.0,1578,6663,17.0,4,175
4,13.980,8,4.0,1507,12217,34.0,3,188
